Series,Nt,Nv,Nh,Lambdal,Lambdah,LambdalMin,LambdalMax,LambdahMin,LambdahMax,Delta,Kappa,Nu,M0,Sigma,T,Mean,StandardDeviation,Kurtosis,KolmogorovSmirnov,Hurst,GPH,ADF,GARCH,Hill,Objective,RunTime
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.4,10000.0,0.01,3600000,-6.545032318967846e-6,0.00026770231134789075,1342.0932415812983,0.45065395552956033,0.5121567510556673,0.15082119822770187,-95.92142664195653,1.0191655776346873,0.7346142797499544,8116.916226726147,37.32599186897278
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.4,10000.0,0.2575,3600000,3.097985519441476e-5,0.004165676334516462,529.7042067496922,0.4658880760441259,0.6011181661162484,0.4935683991376245,-62.99484613802828,1.0141867436768792,0.16384185556942887,241666.82945540638,37.989098072052
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.4,10000.0,0.2575,3600000,3.280993273236004e-5,0.008206341047314528,238.79164775015576,0.4482439489218447,0.4947948807740679,0.639064319870779,-67.83971558331478,0.9662700846626476,0.1077505851275743,749240.9070859073,37.98914813995361
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.4,10000.0,0.505,3600000,3.680965583786755e-5,0.000440656052708723,153.87271843382206,0.445526723881274,0.9224636321375381,0.40804304587672435,-57.02763976781071,1.0511470966161118,0.18339658182366264,38017.55096350056,36.419703006744385
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.4,10000.0,0.505,3600000,3.8830670131930544e-5,0.0009332070115234848,250.14123059749966,0.4292066518208432,0.7880039044573495,0.21910389789795764,-62.39697386070793,1.0222976734812936,0.28220147728365474,42083.53066304987,36.41975212097168
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.4,10000.0,0.7525,3600000,-3.0023520715338643e-5,0.0063601737443883845,162.41510102932472,0.4464642707605361,0.48142513786949426,0.4526631595765828,-62.93326549435905,0.9904765390904942,0.1988163325212392,529221.8807512113,34.38366985321045
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.4,10000.0,0.7525,3600000,-3.112981803751444e-5,0.013337494566602142,81.76542039570971,0.4284897248331368,0.42069136540658064,0.4646964581793399,-60.67341513719077,0.9844462035486783,0.28364950546074824,2.0750942497253781e6,34.383747816085815
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.4,10000.0,1.0,3600000,-6.634498099288609e-5,0.0014660333581617657,1010.3704821463843,0.5016117068198589,0.6565084963036862,0.2777919003587051,-61.116636535061744,0.9208782963508552,0.20034553699328994,138314.90856927412,36.72077798843384
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.4,10000.0,1.0,3600000,-6.702095648040645e-5,0.0026358349457673703,373.2783552447079,0.4711698411739578,0.6600760423547152,0.4043189333306035,-77.98610670789341,1.0373333085474534,0.4901983477447031,165896.39010504627,36.723828077316284
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.1,10000.0,0.01,3600000,1.3416081378082937e-5,0.003932879595307325,940.774716013238,0.4940892078999705,0.5098510801922277,0.48929333311430273,-64.04316567957828,0.949999999996438,0.14419113863879657,195233.3320791402,37.44187116622925
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.1,10000.0,0.01,3600000,1.288150678539636e-5,0.0058572192776546236,555.3348317340094,0.47887388365601485,0.5076058573139117,1.2413641182263728,-65.61623705544527,0.9500000008481498,0.3884295462023992,344322.31010460644,37.441925048828125
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.1,10000.0,0.2575,3600000,6.14672241337199e-5,0.004713290294810547,427.7451188843634,0.4904697052215381,0.5436581494997749,0.5748613766163195,-54.52709389304729,1.1551424817156766,0.09400236528761408,377270.35345320153,36.97545289993286
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.1,10000.0,0.2575,3600000,6.0771448966176436e-5,0.015329399908393972,849.446785512413,0.4773806298092688,0.5123239353954813,0.27963300121658197,-63.64492577244907,0.913924262121317,0.35578418882549556,2.8834867822445845e6,36.97550392150879
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.1,10000.0,0.505,3600000,0.00013858548801676317,0.004072903650016301,273.5125377322139,0.4488900113606164,0.5955153302512182,0.3374133176159444,-64.26246411441548,1.0110502386978555,0.157965681347674,712745.5624741111,35.6322820186615
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.1,10000.0,0.505,3600000,0.00013896253485753645,0.009196444362818272,249.5276642163035,0.4436748789262125,0.5226574605915911,0.36189097236549056,-66.77346349534713,1.083354947551402,0.0832843994158652,1.4404275092287154e6,35.632341146469116
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.1,10000.0,0.7525,3600000,0.00024257847041842076,0.00390352511458403,226.47079669797102,0.474989491880782,0.832603640214568,0.45125724601198614,-55.54559888661738,0.9902384452986431,-0.027779719819126632,1.7365414780386854e6,37.568342208862305
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.1,10000.0,0.7525,3600000,0.0002443855918614031,0.008309087853591976,209.82029531816644,0.47595765735655027,0.6374267029266153,0.5787113482516247,-63.63966836706689,1.0342953835035864,0.08951201508361063,2.3220442815404804e6,37.57037019729614
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.1,10000.0,1.0,3600000,-7.287629353133816e-5,0.0008613977970939791,293.18816679632204,0.45903711677245423,0.8428545602877678,0.8671422116058116,-58.34707088476302,1.0980938472940658,0.8283227619531035,144491.2489661574,34.32665300369263
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.1,10000.0,1.0,3600000,-7.628765959242347e-5,0.001970824105801056,184.22626242278162,0.41108610816284397,0.7604016299968512,0.6321273006407938,-61.40841455525198,1.0970222674347003,0.4884885497122654,175412.04585378067,34.332196950912476
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.8,10000.0,0.01,3600000,5.939840768799679e-7,0.0002627126113379367,345.8420318273179,0.46907030026990126,0.6538187725509044,0.6361803526907598,-64.33790510548353,0.95,0.7200792715903497,1050.074249390288,35.281440019607544
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.8,10000.0,0.01,3600000,3.4549992535927187e-9,0.0007075683942677613,332.9315480292405,0.4436451028329161,0.5789964450160859,0.4915638334012342,-63.351469838595634,1.034929366289341,0.4203836001945422,3992.102912413759,35.28149199485779
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.8,10000.0,0.2575,3600000,5.591078491389527e-5,0.0047296257432831975,122.87427818878719,0.4248245198111382,0.4841085079037756,0.43651803854505145,-54.703063411521924,1.1530488141462152,0.20554380287726523,361287.3315173053,33.33171606063843
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.8,10000.0,0.2575,3600000,6.332171963391082e-5,0.009843072428153255,95.00786558705366,0.3873920192571154,0.38768025139618445,0.47444365955683304,-61.034184063069716,0.9808845148126479,0.19617218201608475,1.1791080050852005e6,33.331767082214355
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.8,10000.0,0.505,3600000,-0.00014966662223055355,0.012076231150242749,923.6052142407906,0.48281378039816114,0.5430067715257776,0.35915377067012916,-65.62844650966443,1.4257376985308698,-0.11027145445903243,2.4077756413721023e6,36.7972309589386
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.8,10000.0,0.505,3600000,-0.00014823778237509083,0.02377864419625238,746.6115006836129,0.4474849789207669,0.4835400955222047,0.6290695719868993,-66.59296858659516,0.9967728473900861,0.17647904309412005,7.412505890080277e6,36.797280073165894
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.8,10000.0,0.7525,3600000,3.670038656503255e-5,0.002021727476560579,178.31935634655804,0.44794224739901856,0.7407362502141722,0.6648870726618179,-61.00043344486643,1.011588913685804,0.15710025046597603,84610.01156453024,35.682981967926025
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.8,10000.0,0.7525,3600000,3.404205077609839e-5,0.004735508760798865,183.01319744733772,0.4281849582623985,0.5345672317246105,0.607700639919938,-63.43026371916549,0.9499999998662892,0.12811358456603675,234763.01131188942,35.68303298950195
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.8,10000.0,1.0,3600000,-7.133381228413369e-5,0.001506224105663726,822.1624404397935,0.5031328955690444,0.7450836121231809,0.45125585227312404,-58.731378618584124,1.1289322645911488,-0.1900417188245901,157816.24243254928,35.850412130355835
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,4.8,10000.0,1.0,3600000,-7.410964675954327e-5,0.0025806053534298086,1577.7502198546172,0.47842185300509416,0.6869879742517874,0.6760060983741357,-65.41182465103006,0.8654499795109732,0.6719159199030711,189044.48969352792,35.85046195983887
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.0,10000.0,0.01,3600000,5.114624712961888e-6,0.00021516370976341963,431.53543383842657,0.47031347377595945,0.7541682583434146,0.622052969765282,-60.53567031680866,1.0379312908376093,1.0207571090726593,1900.9387704332537,35.187983989715576
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.0,10000.0,0.01,3600000,6.491486051044768e-6,0.0009969233908514842,564.4602190874099,0.45176766805696655,0.4913353399914583,0.40349819500133716,-64.3688226357807,1.0207731381229612,0.4605916227564622,4681.294519275132,35.18803310394287
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.0,10000.0,0.2575,3600000,2.549220206367553e-5,0.0006755916080600788,1618.849214346911,0.4539622165323356,0.5838350586600297,0.3376775644740014,-62.49685267971347,1.0393014495038522,0.6803193826778403,21544.254764967583,36.09101891517639
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.0,10000.0,0.2575,3600000,3.903397274229423e-5,0.0022901313648751483,873.0191566582964,0.43181779461701797,0.5027798303982948,0.271833741994891,-71.02913781709992,1.1236101266026448,0.5410413100894629,70293.87954051893,36.09106707572937
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.0,10000.0,0.505,3600000,1.2331471893495487e-5,0.0001275755204599044,87.5579901790479,0.4439450928585182,0.7021542391012803,0.5041759111787539,-60.53966805203028,1.0615050519481772,0.6009525729237661,4517.938714899161,35.01614212989807
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.0,10000.0,0.505,3600000,1.3368476573797701e-5,0.00037910984498787875,110.9249451771348,0.40663735490205727,0.5117724829393084,0.5474542846798778,-67.57048757212469,0.9645803634782367,0.43972360271803407,9202.62814290665,35.016193151474
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.0,10000.0,0.7525,3600000,-3.4279117592504935e-5,0.003906433327375177,214.48775674633296,0.45722979864287416,0.3817620517065655,0.5826977758858749,-61.91240870837402,1.0355566447934494,0.2817475228068639,216029.28111421838,35.01815605163574
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.0,10000.0,0.7525,3600000,-3.6790063506528675e-5,0.01337956637823894,449.1478679140477,0.4264509563718692,0.4528797272081199,0.5222367889863876,-64.34583985569785,1.049989790353619,0.18170289666987327,2.0953144372771017e6,35.01819705963135
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.0,10000.0,1.0,3600000,-3.339931207849406e-5,0.000390638481645154,137.21425545815703,0.45690228023246443,0.7547451170926511,0.5664560244482605,-58.492870455704804,0.9499999997954054,0.6300557271323296,30639.074507929836,34.54677700996399
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.0,10000.0,1.0,3600000,-3.328402484970891e-5,0.0010741634288623202,129.13621451315726,0.41801414014620836,0.615448572351305,0.5074688660578479,-67.61770721753501,1.0821718918500876,0.31268337189281664,35696.06733209381,34.546817779541016
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.7,10000.0,0.01,3600000,6.738839413261963e-7,0.00014155569627883087,242.66553487907385,0.4723089524698645,0.7285225336540769,0.394751217669087,-65.48618968216316,0.9500000000044061,1.1593180220545662,768.5604717695551,35.00273895263672
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.7,10000.0,0.01,3600000,1.1616206392220546e-6,0.0003626507979010056,401.78565128531585,0.4422250138638468,0.536162747940318,0.6398404378850616,-64.41753987693582,1.078138897812274,0.572935014378678,5998.386064621637,35.00278997421265
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.7,10000.0,0.2575,3600000,2.9732575917997637e-5,0.00033612928736159655,246.22149391261604,0.45037362226353606,0.8802498262442355,0.4472674936109857,-66.10459346709104,1.0641343517295236,0.6152410071741324,25469.77166225284,34.64943790435791
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.7,10000.0,0.2575,3600000,3.0356014047974503e-5,0.001035626813560481,150.22123285318781,0.41162810706929664,0.638323019694836,0.38102011862246365,-71.68177391877744,0.9514531399629516,0.3950096172644335,26739.66083504082,34.64949083328247
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.7,10000.0,0.505,3600000,9.247677866843824e-5,0.002137227318237623,415.01842292354627,0.4890328929051453,0.7978013767497204,0.7283908665501883,-68.29890701160248,1.0952236453549544,-0.027158643802662766,279875.8883761468,38.47425198554993
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.7,10000.0,0.505,3600000,9.25689576690196e-5,0.006127018597616023,496.60905102512186,0.47958352080384764,0.6082922888779773,1.1203503616919213,-69.94846947939978,0.98139580344921,0.2528165957437606,606310.3931754596,38.47430109977722
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.7,10000.0,0.7525,3600000,9.679300536075556e-5,0.004653970514657934,136.0037212555076,0.44668120306562903,0.5933062396352045,0.5163284380080454,-63.40383639813024,1.0707475525474994,0.3122993957523561,522671.10063535796,35.275705099105835
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.7,10000.0,0.7525,3600000,9.650514152499298e-5,0.012757366600294199,115.28372411062216,0.4397190942683291,0.5108005527965465,0.4512722076256249,-67.26112795146963,1.008878404659063,0.27213154839478537,2.1387160335779693e6,35.27575206756592
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.7,10000.0,1.0,3600000,-6.502752480785846e-6,9.83963085652731e-5,1032.3531843244505,0.47867545507925524,0.5708580979042361,0.29008776895834815,-78.12148741413914,0.9500004400522752,2.165176230397194,1372.3135176494798,34.38910913467407
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.7,10000.0,1.0,3600000,-6.222821291022092e-6,0.0001669815459200267,632.8928766920114,0.44267806293350576,0.5150005908868502,0.3554914401354589,-45.950301213059525,1.0243156742981607,0.6171374039303144,10740.093722519996,34.389156103134155
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,3.4,10000.0,0.01,3600000,-7.954708994217979e-5,0.009573980247715086,153.40229546092283,0.4297805809600247,0.5157116305913446,0.5809213119040755,-64.48843525851161,0.9857594336248302,0.6215007231049815,1.3261687031044387e6,35.266114950180054
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,3.4,10000.0,0.01,3600000,-8.174213154609408e-5,0.03437418123646365,185.7296566378647,0.4139150389171814,0.4167287524962547,0.575021298969522,-75.43850985846964,0.9959572614359,0.4940498787585448,1.49061014689125e7,35.26616382598877
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,3.4,10000.0,0.2575,3600000,-2.644869801296085e-5,0.0003175741383618362,133.33382249060648,0.4632145096339876,0.8221565879233882,0.5771783880175129,-59.05426865280357,1.0345295293061223,0.9307691429327217,19216.7549124883,33.52990102767944
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,3.4,10000.0,0.2575,3600000,-2.8920921853876798e-5,0.0008070632228594663,260.1122060978329,0.41437174439673563,0.5982596831632703,0.5888756953259718,-67.65199590557411,1.3330927789036264,0.4563359588668656,27631.656445829853,33.52995204925537
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,3.4,10000.0,0.505,3600000,0.00033845256369073617,0.012930855675401075,204.89950364264104,0.4321169905449351,0.5036477889860136,0.5198820039539762,-62.073612372485606,0.9825399495471666,0.42273695293267116,5.235081075400641e6,33.6824049949646
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,3.4,10000.0,0.505,3600000,0.00034209726111793015,0.03739364572854491,267.74835562585287,0.4315744282575931,0.4406465222715823,0.40431492293685184,-66.3557463538341,0.9848271299401292,0.15663060550602093,2.088559148196066e7,33.682453870773315
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,3.4,10000.0,0.7525,3600000,-0.00018465847041615653,0.002405210885029272,183.11655013040826,0.49392092560152856,0.8321010590416218,0.5728460274237369,-60.69420787540738,0.9799427702369325,-0.04363307691606418,947816.2284049012,36.25333309173584
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,3.4,10000.0,0.7525,3600000,-0.00018338147286477738,0.007754527324714393,127.8762078936511,0.45088488108772395,0.7185037941240876,0.6408807603257987,-72.88656346994448,1.0025405053232315,0.2267749053225201,1.4901080776879343e6,36.25338411331177
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,3.4,10000.0,1.0,3600000,-1.7069541037345366e-5,0.00018848207916287647,232.26020875807183,0.46003220041590537,0.6941362085236182,0.2343154252315484,-54.083473047960425,1.038381969774594,1.1610803296947838,8161.109641778369,33.15435600280762
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,3.4,10000.0,1.0,3600000,-2.0993207218986813e-5,0.0005179479290496344,263.2919743693025,0.412555530971716,0.57730741445338,0.35311308470343183,-61.13177640488581,1.0824086260959436,0.3781897966275197,18183.45370592257,33.15440392494202
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,4.1,10000.0,0.01,3600000,-7.690221438571541e-5,0.003549304994791562,129.2470952617536,0.48050211163941337,0.6933112138798453,0.6087287386260088,-62.7304323387971,0.9437515877609213,-0.1044323050085376,303109.18209376134,36.883387088775635
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,4.1,10000.0,0.01,3600000,-7.9190601303026e-5,0.009994681650743244,159.16294470408306,0.45492314673438183,0.5002859548308377,0.6161046623260851,-73.8920454176224,1.0028358226661804,0.05713242428634645,1.256690505825873e6,36.883456230163574
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,4.1,10000.0,0.2575,3600000,0.00012221335700221574,0.0027887814709929197,245.64087056711034,0.39909590879472123,0.6125969520433083,0.5828630280422953,-63.562886440434944,1.0074909762034536,0.6059968166394205,490488.9796019934,34.47348499298096
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,4.1,10000.0,0.2575,3600000,0.0001250994592944249,0.007260141470384687,122.07307922486628,0.3797319639407611,0.5308724244409212,0.5688348739340103,-67.88442467881619,1.0039203942483108,0.4483885998297339,968312.4986484019,34.47353792190552
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,4.1,10000.0,0.505,3600000,-6.573357818822709e-5,0.005729230356566096,226.71047483560778,0.4788158518055329,0.7195505786662152,0.4301074324274081,-60.43408162745364,0.9179369772941437,-0.0036244090473682936,517278.2330868817,35.463918924331665
