Side,Nt,Nv,Nh,Lambdal,Lambdah,LambdalMin,LambdalMax,LambdahMin,LambdahMax,Delta,Kappa,Nu,M0,Sigma,T,Mean,StandardDeviation,Kurtosis,Hurst,GPH,ADF,GARCH,Hill
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.05,10000.0,0.55,7200000,7.541150643537903e-7,0.00011942144608614284,992.0394473297288,0.5025781366472752,0.3568546494384004,-59.29649633704154,1.0190802251724183,0.8914903866327601
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.05,10000.0,0.775,7200000,-0.00018018650749023998,0.005302939015553239,384.1415742416182,0.7769059198419809,0.5079335768219044,-60.48363620239529,1.053102610358408,0.7156862342110363
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.05,10000.0,0.775,7200000,7.541150643537903e-7,0.00011942144608614284,992.0394473297288,0.5025781366472752,0.3568546494384004,-59.29649633704154,1.0190802251724183,0.8914903866327601
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.05,10000.0,1.0,7200000,-0.00018018650749023998,0.005302939015553239,384.1415742416182,0.7769059198419809,0.5079335768219044,-60.48363620239529,1.053102610358408,0.7156862342110363
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.05,10000.0,1.0,7200000,7.541150643537903e-7,0.00011942144608614284,992.0394473297288,0.5025781366472752,0.3568546494384004,-59.29649633704154,1.0190802251724183,0.8914903866327601
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.525,10000.0,0.1,7200000,-2.240565625265186e-5,0.01580707924899526,2067.543818530594,0.4999827910842336,0.17156432994047485,-59.5185720955622,1.0176591508764685,0.8103572566969252
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.525,10000.0,0.1,7200000,1.8370201415618145e-7,2.991418008666465e-5,579.716295010056,0.48148827795815663,0.1023678752060531,-71.22212898354763,0.9352169321138633,1.013342828804299
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.525,10000.0,0.325,7200000,-2.240565625265186e-5,0.01580707924899526,2067.543818530594,0.4999827910842336,0.17156432994047485,-59.5185720955622,1.0176591508764685,0.8103572566969252
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.525,10000.0,0.325,7200000,1.8370201415618145e-7,2.991418008666465e-5,579.716295010056,0.48148827795815663,0.1023678752060531,-71.22212898354763,0.9352169321138633,1.013342828804299
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.525,10000.0,0.55,7200000,-0.00011086459421647481,0.0031428393828928777,1005.0881906584867,0.5987224392195178,0.1785712767969302,-59.66196404130819,0.9891015081510335,0.8290348764876695
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.525,10000.0,0.55,7200000,2.4566434718882406e-7,4.0910247308841665e-5,580.0101224288878,0.48087789041799617,0.10121180288896699,-71.24349192652656,0.9352082606286335,1.0136980739601007
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.525,10000.0,0.775,7200000,-0.00011086459421647481,0.0031428393828928777,1005.0881906584867,0.5987224392195178,0.1785712767969302,-59.66196404130819,0.9891015081510335,0.8290348764876695
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.525,10000.0,0.775,7200000,2.4566434718882406e-7,4.0910247308841665e-5,580.0101224288878,0.48087789041799617,0.10121180288896699,-71.24349192652656,0.9352082606286335,1.0136980739601007
